"","request_creation_time","request_status","passengers_vol","origin_lat","origin_lng","origin_zone","destination_lat","destination_lng","destination_zone","service"
"39",2026-02-12 18:40:28.552,"Not Accepted",5,26.6020667,37.9266383,"01_AlUla_Main_Zone",26.5583419799805,37.9644203186035,"01_AlUla_Main_Zone","B2C"
"40",2026-02-12 17:28:18.841,"Not Accepted",1,26.605210238064,37.9235685244203,"01_AlUla_Main_Zone",26.48541,37.97172,"","B2C"
"41",2026-02-12 14:23:55.458,"Not Accepted",1,26.5623349954557,37.9691637307405,"01_AlUla_Main_Zone",26.63411,37.90908,"01_AlUla_Main_Zone","B2C"
"42",2026-02-12 13:53:11.012,"Other Error",1,26.666071,37.90791,"01_AlUla_Main_Zone",26.60868,37.92327,"01_AlUla_Main_Zone","B2C"
"43",2026-02-12 13:53:01.247,"Not Accepted",5,26.5526896177646,37.9476618021727,"01_AlUla_Main_Zone",26.739857,37.849841,"02_Hegar","B2C"
"44",2026-02-12 12:42:56.587,"Completed",3,26.6124166000377,37.9265632107854,"01_AlUla_Main_Zone",26.5656277,37.9553272,"01_AlUla_Main_Zone","B2C"
"45",2026-02-12 11:57:30.343,"Cancelled",1,26.77015,37.94536,"02_Hegar",26.6104717663837,37.9213976114988,"01_AlUla_Main_Zone","B2C"
"46",2026-02-12 09:24:00.829,"Seat Unavailable",1,26.743535,37.864539,"02_Hegar",26.666846,37.907442,"01_AlUla_Main_Zone","B2C"
"47",2026-02-12 06:12:30.516,"Seat Unavailable",1,26.74349,37.848992,"02_Hegar",26.55026,37.94319,"01_AlUla_Main_Zone","B2C"
"48",2026-02-12 02:17:13.301,"Seat Unavailable",1,26.5678230995416,37.9536401107907,"01_AlUla_Main_Zone",26.6241245,37.914274,"01_AlUla_Main_Zone","B2C"
"49",2026-02-11 22:26:11.659,"Seat Unavailable",1,26.69008,37.9834,"Fursan BP",26.743535,37.864539,"02_Hegar","B2C"
"50",2026-02-11 20:12:48.659,"Not Accepted",1,26.5488398772251,37.962383441627,"01_AlUla_Main_Zone",26.6264512,37.9142455,"01_AlUla_Main_Zone","B2C"
"51",2026-02-11 17:59:03.498,"Seat Unavailable",1,26.743535,37.864539,"02_Hegar",26.69008,37.9834,"Fursan BP","B2C"
"52",2026-02-11 17:55:59.591,"Seat Unavailable",1,26.743535,37.864539,"02_Hegar",26.739857,37.849841,"02_Hegar","B2C"
"53",2026-02-11 17:26:40.717,"Not Accepted",1,26.668029,37.995846,"Fursan BP",26.665193,37.939566,"Fursan BP","B2C"
"54",2026-02-11 16:34:31.467,"Seat Unavailable",2,26.743535,37.864539,"02_Hegar",26.761968,37.859067,"02_Hegar","B2C"
"55",2026-02-11 15:17:46.767,"Not Accepted",1,26.5736686713592,37.9421729966998,"01_AlUla_Main_Zone",26.6026780113177,37.9203220456839,"01_AlUla_Main_Zone","B2C"
"56",2026-02-11 11:43:28.462,"Not Accepted",1,26.6134578032538,37.9253864978348,"01_AlUla_Main_Zone",26.743535,37.864539,"02_Hegar","B2C"
"57",2026-02-11 10:53:20.565,"Not Accepted",1,26.5737781193051,37.942493185401,"01_AlUla_Main_Zone",26.6027274752631,37.9202653840184,"01_AlUla_Main_Zone","B2C"
"58",2026-02-11 10:18:23.258,"Not Accepted",1,26.5952933,37.9357776,"01_AlUla_Main_Zone",26.5552337,37.9486848,"01_AlUla_Main_Zone","B2C"
"59",2026-02-10 17:21:24.676,"Completed",5,26.6600687712628,37.9078370332718,"01_AlUla_Main_Zone",26.5502527,37.9431953,"01_AlUla_Main_Zone","B2C"
"60",2026-02-10 15:13:21.006,"Other Error",1,26.666071,37.90791,"01_AlUla_Main_Zone",26.607047543772,37.9292796179652,"01_AlUla_Main_Zone","B2C"
"61",2026-02-10 14:00:22.294,"Not Accepted",1,26.5259286,37.9748946,"01_AlUla_Main_Zone",26.5602808,37.9613652,"01_AlUla_Main_Zone","B2C"
"62",2026-02-09 19:45:37.352,"Seat Unavailable",1,26.5639894928777,37.9621840942917,"01_AlUla_Main_Zone",26.553585,37.945072,"01_AlUla_Main_Zone","B2C"
"63",2026-02-09 17:29:53.368,"Completed",1,26.5743556428991,37.944123968482,"01_AlUla_Main_Zone",26.6294954,37.9138529,"01_AlUla_Main_Zone","B2C"
"64",2026-02-09 16:50:23.856,"Not Accepted",1,26.559445246042,37.964452765882,"01_AlUla_Main_Zone",26.6250159,37.9153868,"01_AlUla_Main_Zone","B2C"
"65",2026-02-09 14:47:39.567999,"Not Accepted",1,26.6098956240467,37.9196682572365,"01_AlUla_Main_Zone",26.577534,37.942795,"01_AlUla_Main_Zone","B2C"
"66",2026-02-09 14:17:18.542,"Not Accepted",1,26.5686855,37.9459159,"01_AlUla_Main_Zone",26.5552337,37.9486848,"01_AlUla_Main_Zone","B2C"
"67",2026-02-09 13:50:04.214,"Not Accepted",2,26.6645086172844,37.905437797308,"01_AlUla_Main_Zone",26.77015,37.94536,"02_Hegar","B2C"
"68",2026-02-09 08:46:54.704,"Not Accepted",1,26.607056606,37.924492719,"01_AlUla_Main_Zone",26.6316507,37.9107969,"01_AlUla_Main_Zone","B2C"
"69",2026-02-09 05:13:20.019,"Completed",2,26.6070565368747,37.924492880702,"01_AlUla_Main_Zone",26.6049204,37.9188371,"01_AlUla_Main_Zone","B2C"
"70",2026-02-08 22:17:31.46,"Not Accepted",1,26.6021968609145,37.9220242425799,"01_AlUla_Main_Zone",26.5602808,37.9613652,"01_AlUla_Main_Zone","B2C"
"71",2026-02-08 21:09:47.438,"Other Error",1,26.5620246117916,37.9601391032338,"01_AlUla_Main_Zone",26.553585,37.945072,"01_AlUla_Main_Zone","B2C"
"72",2026-02-08 17:51:20.37,"Not Accepted",1,26.5259286,37.9748946,"01_AlUla_Main_Zone",26.5602808,37.9613652,"01_AlUla_Main_Zone","B2C"
"73",2026-02-08 14:28:58.063,"Completed",4,26.6032958594285,37.9388158768415,"01_AlUla_Main_Zone",26.6022103511403,37.9238468036056,"01_AlUla_Main_Zone","B2C"
"74",2026-02-08 14:17:45.33,"Completed",2,26.6022136487508,37.9233365133405,"01_AlUla_Main_Zone",26.6034059,37.9383602,"01_AlUla_Main_Zone","B2C"
"75",2026-02-08 13:03:11.7,"Not Accepted",1,26.5740168054218,37.951510772109,"01_AlUla_Main_Zone",26.743535,37.864539,"02_Hegar","B2C"
"76",2026-02-08 12:37:00.21,"Not Accepted",1,26.5955387907029,37.9346892982721,"01_AlUla_Main_Zone",26.6021222149697,37.9257384315133,"01_AlUla_Main_Zone","B2C"
"77",2026-02-08 10:01:40.474,"Other Error",1,26.5599853552202,37.9580295458436,"01_AlUla_Main_Zone",26.5533,37.94544,"01_AlUla_Main_Zone","B2C"
"78",2026-02-08 09:43:05.212,"Not Accepted",1,26.5597460400849,37.9582679271698,"01_AlUla_Main_Zone",26.5533,37.94544,"01_AlUla_Main_Zone","B2C"
"79",2026-02-07 21:48:58.498,"Other Error",1,26.6337821124045,37.9091124236584,"01_AlUla_Main_Zone",26.609964,37.925989,"01_AlUla_Main_Zone","B2C"
"80",2026-02-07 16:50:17.166,"Not Accepted",1,26.66329,37.94749,"Fursan BP",26.63411,37.90908,"01_AlUla_Main_Zone","B2C"
"81",2026-02-07 15:37:28.278,"Not Accepted",4,26.5573656,37.9697927,"01_AlUla_Main_Zone",26.603074,37.9263144,"01_AlUla_Main_Zone","B2C"
"82",2026-02-07 12:23:02.355,"Not Accepted",1,26.5637022,37.9632242,"01_AlUla_Main_Zone",26.6295836,37.9234705,"01_AlUla_Main_Zone","B2C"
"83",2026-02-07 09:32:07.016,"Not Accepted",1,26.52485,37.98099,"01_AlUla_Main_Zone",26.6242728,37.9144594,"01_AlUla_Main_Zone","B2C"
"84",2026-02-07 07:33:23.774,"Seat Unavailable",1,26.6261282,37.9156737,"01_AlUla_Main_Zone",26.743535,37.864539,"02_Hegar","B2C"
"85",2026-02-07 03:33:59.115,"Not Accepted",1,26.5532237605527,37.9456773027778,"01_AlUla_Main_Zone",26.5633636039086,37.9628320410848,"01_AlUla_Main_Zone","B2C"
"86",2026-02-07 03:33:41.842,"Not Accepted",1,26.5532189619762,37.945643439889,"01_AlUla_Main_Zone",26.562686462706,37.9599490016699,"01_AlUla_Main_Zone","B2C"
"87",2026-02-07 01:53:08.802,"Not Accepted",1,26.613680364473,37.9268756881356,"01_AlUla_Main_Zone",26.5540359167446,37.9633865877986,"01_AlUla_Main_Zone","B2C"
"88",2026-02-07 00:31:11.35,"Seat Unavailable",1,26.74349,37.848992,"02_Hegar",26.5502527,37.9431953,"01_AlUla_Main_Zone","B2C"
"89",2026-02-06 23:03:36.576,"Completed",2,26.6654384,37.905143,"01_AlUla_Main_Zone",26.5412327,37.967826,"01_AlUla_Main_Zone","B2C"
"90",2026-02-06 20:58:14.251,"Seat Unavailable",1,26.77015,37.94536,"02_Hegar",26.5656277,37.9553272,"01_AlUla_Main_Zone","B2C"
"91",2026-02-06 17:52:29.076,"Completed",1,26.6653968,37.9050362,"01_AlUla_Main_Zone",26.6293315887451,37.9133338928223,"01_AlUla_Main_Zone","B2C"
"92",2026-02-06 16:15:10.236,"Cancelled",3,26.6645092165231,37.9047826677561,"01_AlUla_Main_Zone",26.66329,37.94749,"Fursan BP","B2C"
"93",2026-02-06 15:54:00.312,"Not Accepted",1,26.6086671,37.9252208,"01_AlUla_Main_Zone",26.5719337463379,37.9546203613281,"01_AlUla_Main_Zone","B2C"
"94",2026-02-06 14:59:05.76,"Completed",1,26.563813,37.963188,"01_AlUla_Main_Zone",26.6646413,37.9052238,"01_AlUla_Main_Zone","B2C"
"95",2026-02-06 12:37:12.434,"Not Accepted",1,26.74867,37.94319,"02_Hegar",26.73128,37.95452,"","B2C"
"96",2026-02-06 03:00:44.729,"Not Accepted",1,26.5656277,37.9553272,"01_AlUla_Main_Zone",26.6264512,37.9142455,"01_AlUla_Main_Zone","B2C"
"97",2026-02-06 00:29:04.865,"Completed",1,26.5597841266123,37.9607375711203,"01_AlUla_Main_Zone",26.6124469075826,37.9268370150711,"01_AlUla_Main_Zone","B2C"
"98",2026-02-05 23:55:31.253,"Seat Unavailable",1,26.6029879850228,37.9266865924001,"01_AlUla_Main_Zone",26.6093275724389,37.9194912314415,"01_AlUla_Main_Zone","B2C"
"99",2026-02-05 23:55:18.551,"Seat Unavailable",2,26.6031249847389,37.9269628599286,"01_AlUla_Main_Zone",26.6094408832224,37.9180190339684,"01_AlUla_Main_Zone","B2C"
"100",2026-02-05 22:42:05.534,"Cancelled",4,26.5723004132808,37.9451710358262,"01_AlUla_Main_Zone",26.5874542,37.9394637,"01_AlUla_Main_Zone","B2C"
"101",2026-02-05 22:33:19.863999,"Seat Unavailable",1,26.69008,37.9834,"Fursan BP",26.6294954,37.9138529,"01_AlUla_Main_Zone","B2C"
"102",2026-02-05 19:04:02.665,"Not Accepted",1,26.5612242079131,37.9717440158129,"AlUla Main Zone Business - b2c",26.663606,37.9034288,"01_AlUla_Main_Zone","B2C"
